,City,Temperature,Humidity,Cloudiness,Wind Speed (mph),Latitude,Longitude,Country,Datetime
364,marawi,77.0,92,0,1.01,8.0,124.29,PH,1579990968
365,springbok,56.97,88,25,13.53,-29.66,17.89,ZA,1579990988
366,matao,77.59,70,72,5.1,-21.6,-48.37,BR,1579990982
367,genhe,-15.29,98,3,4.07,50.78,121.52,CN,1579990988
368,samana,74.17,78,78,4.38,19.21,-69.34,DO,1579990876
369,west bay,79.32,66,29,8.01,19.37,-81.42,KY,1579990989
370,richards bay,77.0,82,4,25.5,-28.78,32.04,ZA,1579990989
371,mabaruma,82.27,65,100,7.49,8.2,-59.78,GY,1579990989
372,benemerito de las americas,84.92,48,39,3.11,16.52,-90.64,MX,1579990989
373,oktyabrskiy,20.62,95,99,4.63,54.48,53.47,RU,1579990989
374,natal,82.2,82,77,12.37,-5.79,-35.21,BR,1579990890
375,ostrovnoy,2.89,99,43,5.53,68.05,39.51,RU,1579990863
376,estelle,61.74,48,49,3.22,29.85,-90.11,US,1579990990
377,gambela,79.09,22,100,1.3,8.25,34.58,ET,1579990990
